,rmse,mape,corr,rmse(improve),mape(improve),corr(improve),improve(mean)
0,8.517608743234067,66.31818979372657,0.8664788180607101,0.0,0.16440602707586138,9.81010876118865e-05,0.05483470938782442
1,8.375038025169081,59.403374767855304,0.8663938238842869,0.016738350206357715,0.2515311096131697,0.0,0.0894231532731758
2,8.081780215784443,44.40462627721172,0.876887755251719,0.05116794403074961,0.44051189873254276,0.012112195491404716,0.16793067941823236
3,7.6817252300944405,55.511221052568466,0.8951109538178467,0.09813593677962819,0.30057135326734175,0.03314558476976767,0.14395095827224588
4,7.849682643672587,45.2974369602538,0.8946525700098024,0.07841709095784015,0.4292626890054278,0.032616513814495575,0.18009876459258786
5,7.879214090489221,62.44567811950503,0.8804901890043942,0.0749499856109208,0.2131987855200007,0.016270158825589735,0.10147297665217042
6,7.510915813188009,61.03046137348872,0.8912910147710527,0.11818961875253088,0.23103019176059153,0.028736574754359034,0.12598546175582714
7,8.283724811063351,70.83806549561491,0.8733158562437754,0.027458872463060845,0.10745663043805653,0.007989475650293882,0.04763499285047041
8,7.676244653117109,60.77538239133918,0.888491164353124,0.09877937757886479,0.2342441284010024,0.025504960746105705,0.11950948890865763
9,8.400671910891191,79.36652482263348,0.8680302821798604,0.013728833510433863,0.0,0.0018888157445962285,0.005205883085010031
10,8.187053173353291,72.26669530228531,0.8802940038572867,0.038808494243569414,0.0894562227112086,0.016043720061024266,0.04810281233860075
